"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"166","0-43.75","12.5-25","75-100",3,5,0,0.989795918367347,0.0102040816326531,0
"167","0-43.75","12.5-25","75-100",3,6,0,0.968085106382979,0.0319148936170213,0
"168","0-43.75","12.5-25","75-100",3,7,0,0.877358490566038,0.122641509433962,0
"169","0-43.75","25-37.5","0-25",1,1,1,0,0,0
"170","0-43.75","25-37.5","0-25",1,2,1,0,0,0
"171","0-43.75","25-37.5","0-25",1,3,1,0,0,0
"172","0-43.75","25-37.5","0-25",1,4,1,0,0,0
"173","0-43.75","25-37.5","0-25",1,5,1,0,0,0
"174","0-43.75","25-37.5","0-25",1,6,1,0,0,0
"175","0-43.75","25-37.5","0-25",1,7,1,0,0,0
"176","0-43.75","25-37.5","0-25",2,1,1,0,0,0
"177","0-43.75","25-37.5","0-25",2,2,1,0,0,0
"178","0-43.75","25-37.5","0-25",2,3,1,0,0,0
"179","0-43.75","25-37.5","0-25",2,4,1,0,0,0
"180","0-43.75","25-37.5","0-25",2,5,1,0,0,0
"181","0-43.75","25-37.5","0-25",2,6,1,0,0,0
"182","0-43.75","25-37.5","0-25",2,7,1,0,0,0
"183","0-43.75","25-37.5","0-25",3,1,0.771739130434783,0.228260869565217,0,0
"184","0-43.75","25-37.5","0-25",3,2,0.755813953488372,0.244186046511628,0,0
"185","0-43.75","25-37.5","0-25",3,3,0.841463414634146,0.158536585365854,0,0
"186","0-43.75","25-37.5","0-25",3,4,0.855421686746988,0.144578313253012,0,0
"187","0-43.75","25-37.5","0-25",3,5,0.862068965517241,0.137931034482759,0,0
"188","0-43.75","25-37.5","0-25",3,6,0.785714285714286,0.214285714285714,0,0
"189","0-43.75","25-37.5","0-25",3,7,0.782178217821782,0.217821782178218,0,0
"190","0-43.75","25-37.5","25-50",1,1,1,0,0,0
"191","0-43.75","25-37.5","25-50",1,2,1,0,0,0
"192","0-43.75","25-37.5","25-50",1,3,1,0,0,0
"193","0-43.75","25-37.5","25-50",1,4,1,0,0,0
"194","0-43.75","25-37.5","25-50",1,5,1,0,0,0
"195","0-43.75","25-37.5","25-50",1,6,1,0,0,0
"196","0-43.75","25-37.5","25-50",1,7,1,0,0,0
"197","0-43.75","25-37.5","25-50",2,1,1,0,0,0
"198","0-43.75","25-37.5","25-50",2,2,1,0,0,0
