"n_fish","survival_b","0-50","50-100","100-150","150-200","200-250"
89,"0.3-0.4",559,0,0,0,0
89,"0.4-0.5",633,11,0,0,0
89,"0.5-0.6",196,87,0,0,0
89,"0.6-0.7",6,19,0,0,0
90,"0.2-0.3",141,0,0,0,0
90,"0.3-0.4",614,0,0,0,0
90,"0.4-0.5",624,19,0,0,0
90,"0.5-0.6",177,112,0,0,0
90,"0.6-0.7",4,13,0,0,0
91,"0.2-0.3",164,0,0,0,0
91,"0.3-0.4",551,0,0,0,0
91,"0.4-0.5",644,25,0,0,0
91,"0.5-0.6",188,123,0,0,0
91,"0.6-0.7",3,18,0,0,0
92,"0.2-0.3",172,0,0,0,0
92,"0.3-0.4",561,2,0,0,0
92,"0.4-0.5",585,34,0,0,0
92,"0.5-0.6",178,138,0,0,0
92,"0.6-0.7",2,16,0,0,0
93,"0.2-0.3",147,0,0,0,0
93,"0.3-0.4",573,0,0,0,0
93,"0.4-0.5",593,28,0,0,0
93,"0.5-0.6",134,135,0,0,0
93,"0.6-0.7",2,14,0,0,0
94,"0.2-0.3",168,0,0,0,0
94,"0.3-0.4",599,1,0,0,0
94,"0.4-0.5",580,51,0,0,0
94,"0.5-0.6",133,139,0,0,0
94,"0.6-0.7",2,15,0,0,0
95,"0.2-0.3",164,0,0,0,0
95,"0.3-0.4",578,0,0,0,0
95,"0.4-0.5",597,42,0,0,0
95,"0.5-0.6",125,150,0,0,0
95,"0.6-0.7",1,14,0,0,0
96,"0.2-0.3",146,0,0,0,0
96,"0.3-0.4",601,0,0,0,0
96,"0.4-0.5",571,56,0,0,0
96,"0.5-0.6",108,151,0,0,0
96,"0.6-0.7",0,8,0,0,0
97,"0.2-0.3",164,0,0,0,0
97,"0.3-0.4",563,3,0,0,0
97,"0.4-0.5",585,59,0,0,0
97,"0.5-0.6",110,192,0,0,0
97,"0.6-0.7",0,19,0,0,0
98,"0.2-0.3",151,0,0,0,0
98,"0.3-0.4",623,0,0,0,0
98,"0.4-0.5",576,77,0,0,0
98,"0.5-0.6",101,176,0,0,0
98,"0.6-0.7",0,20,0,0,0
99,"0.2-0.3",147,0,0,0,0
99,"0.3-0.4",548,1,0,0,0
99,"0.4-0.5",570,79,0,0,0
99,"0.5-0.6",87,210,0,0,0
99,"0.6-0.7",0,22,0,0,0
100,"0.2-0.3",152,0,0,0,0
100,"0.3-0.4",554,1,0,0,0
100,"0.4-0.5",548,92,0,0,0
100,"0.5-0.6",75,189,0,0,0
100,"0.6-0.7",0,22,0,0,0
101,"0.2-0.3",140,0,0,0,0
101,"0.3-0.4",573,1,0,0,0
101,"0.4-0.5",516,116,0,0,0
101,"0.5-0.6",72,238,0,0,0
101,"0.6-0.7",0,22,0,0,0
102,"0.2-0.3",148,0,0,0,0
102,"0.3-0.4",585,5,0,0,0
102,"0.4-0.5",540,114,0,0,0
102,"0.5-0.6",53,225,0,0,0
102,"0.6-0.7",0,21,0,0,0
103,"0.2-0.3",161,0,0,0,0
103,"0.3-0.4",594,4,0,0,0
103,"0.4-0.5",525,137,0,0,0
103,"0.5-0.6",63,239,0,0,0
103,"0.6-0.7",0,15,0,0,0
104,"0.2-0.3",158,0,0,0,0
104,"0.3-0.4",586,3,0,0,0
104,"0.4-0.5",453,138,0,0,0
104,"0.5-0.6",56,240,0,0,0
104,"0.6-0.7",1,21,0,0,0
105,"0.2-0.3",137,0,0,0,0
105,"0.3-0.4",531,5,0,0,0
105,"0.4-0.5",489,154,0,0,0
105,"0.5-0.6",54,274,0,0,0
105,"0.6-0.7",1,19,0,0,0
106,"0.2-0.3",160,0,0,0,0
106,"0.3-0.4",529,7,0,0,0
106,"0.4-0.5",426,174,0,0,0
106,"0.5-0.6",35,258,0,0,0
106,"0.6-0.7",0,11,0,0,0
107,"0.2-0.3",176,0,0,0,0
107,"0.3-0.4",579,10,0,0,0
107,"0.4-0.5",431,219,0,0,0
107,"0.5-0.6",23,261,0,0,0
107,"0.6-0.7",0,14,0,0,0
108,"0.2-0.3",148,0,0,0,0
108,"0.3-0.4",557,15,0,0,0
108,"0.4-0.5",430,230,0,0,0
108,"0.5-0.6",25,235,0,0,0
108,"0.6-0.7",0,15,0,0,0
109,"0.2-0.3",142,0,0,0,0
109,"0.3-0.4",583,18,0,0,0
109,"0.4-0.5",384,234,0,0,0
109,"0.5-0.6",20,266,0,0,0
109,"0.6-0.7",0,24,0,0,0
110,"0.2-0.3",152,0,0,0,0
110,"0.3-0.4",555,19,0,0,0
110,"0.4-0.5",413,246,0,0,0
110,"0.5-0.6",17,265,0,0,0
110,"0.6-0.7",0,24,0,0,0
111,"0.2-0.3",159,0,0,0,0
111,"0.3-0.4",557,19,0,0,0
111,"0.4-0.5",345,269,0,0,0
111,"0.5-0.6",19,271,0,0,0
111,"0.6-0.7",0,15,0,0,0
112,"0.2-0.3",140,0,0,0,0
112,"0.3-0.4",511,22,0,0,0
112,"0.4-0.5",388,310,0,0,0
112,"0.5-0.6",23,262,0,0,0
112,"0.6-0.7",0,20,0,0,0
113,"0.2-0.3",160,0,0,0,0
113,"0.3-0.4",526,23,0,0,0
113,"0.4-0.5",352,308,0,0,0
113,"0.5-0.6",10,276,0,0,0
113,"0.6-0.7",0,29,0,0,0
114,"0.2-0.3",165,0,0,0,0
114,"0.3-0.4",574,34,0,0,0
114,"0.4-0.5",311,317,0,0,0
114,"0.5-0.6",12,281,0,0,0
114,"0.6-0.7",0,8,0,0,0
115,"0.2-0.3",176,0,0,0,0
115,"0.3-0.4",551,28,0,0,0
115,"0.4-0.5",270,338,0,0,0
115,"0.5-0.6",9,256,0,0,0
115,"0.6-0.7",0,21,0,0,0
116,"0.2-0.3",151,0,0,0,0
116,"0.3-0.4",519,50,0,0,0
116,"0.4-0.5",298,374,0,0,0
116,"0.5-0.6",6,259,0,0,0
116,"0.6-0.7",0,25,0,0,0
117,"0.2-0.3",176,0,0,0,0
117,"0.3-0.4",519,41,0,0,0
117,"0.4-0.5",275,358,0,0,0
117,"0.5-0.6",6,309,0,0,0
117,"0.6-0.7",0,17,0,0,0
118,"0.2-0.3",155,0,0,0,0
118,"0.3-0.4",530,61,0,0,0
118,"0.4-0.5",251,408,0,0,0
118,"0.5-0.6",5,259,0,0,0
118,"0.6-0.7",0,18,0,0,0
119,"0.2-0.3",154,0,0,0,0
119,"0.3-0.4",520,64,0,0,0
119,"0.4-0.5",211,442,0,0,0
119,"0.5-0.6",2,267,0,0,0
119,"0.6-0.7",0,12,0,0,0
120,"0.2-0.3",160,0,0,0,0
120,"0.3-0.4",539,76,0,0,0
120,"0.4-0.5",195,442,0,0,0
120,"0.5-0.6",3,264,0,0,0
120,"0.6-0.7",0,11,0,0,0
121,"0.2-0.3",142,0,0,0,0
121,"0.3-0.4",537,54,0,0,0
121,"0.4-0.5",214,381,0,0,0
121,"0.5-0.6",2,319,0,0,0
121,"0.6-0.7",0,22,0,0,0
122,"0.2-0.3",153,0,0,0,0
122,"0.3-0.4",464,73,0,0,0
122,"0.4-0.5",188,469,0,0,0
122,"0.5-0.6",1,263,0,0,0
122,"0.6-0.7",0,24,0,0,0
123,"0.2-0.3",152,1,0,0,0
123,"0.3-0.4",451,67,0,0,0
123,"0.4-0.5",166,454,0,0,0
123,"0.5-0.6",0,263,0,0,0
123,"0.6-0.7",0,21,0,0,0
124,"0.2-0.3",163,0,0,0,0
124,"0.3-0.4",448,84,0,0,0
124,"0.4-0.5",172,464,0,0,0
124,"0.5-0.6",2,279,0,0,0
124,"0.6-0.7",0,20,0,0,0
125,"0.2-0.3",140,1,0,0,0
125,"0.3-0.4",473,109,0,0,0
125,"0.4-0.5",135,523,0,0,0
125,"0.5-0.6",2,274,0,0,0
125,"0.6-0.7",0,14,0,0,0
126,"0.2-0.3",182,0,0,0,0
126,"0.3-0.4",500,126,0,0,0
126,"0.4-0.5",135,520,0,0,0
126,"0.5-0.6",2,319,0,0,0
126,"0.6-0.7",0,16,0,0,0
127,"0.2-0.3",168,0,0,0,0
127,"0.3-0.4",452,124,0,0,0
127,"0.4-0.5",82,534,0,0,0
127,"0.5-0.6",1,315,0,0,0
127,"0.6-0.7",0,15,0,0,0
128,"0.2-0.3",161,1,0,0,0
128,"0.3-0.4",457,144,0,0,0
128,"0.4-0.5",122,529,0,0,0
128,"0.5-0.6",1,290,0,0,0
128,"0.6-0.7",0,14,0,0,0
129,"0.2-0.3",139,2,0,0,0
129,"0.3-0.4",400,141,0,0,0
129,"0.4-0.5",112,528,0,0,0
129,"0.5-0.6",1,286,0,0,0
129,"0.6-0.7",0,13,0,0,0
130,"0.2-0.3",147,2,0,0,0
130,"0.3-0.4",437,138,0,0,0
130,"0.4-0.5",89,510,0,0,0
130,"0.5-0.6",0,297,0,0,0
130,"0.6-0.7",0,27,0,0,0
131,"0.2-0.3",138,3,0,0,0
131,"0.3-0.4",422,169,0,0,0
131,"0.4-0.5",83,543,0,0,0
131,"0.5-0.6",0,274,0,0,0
131,"0.6-0.7",0,17,0,0,0
132,"0.2-0.3",147,2,0,0,0
132,"0.3-0.4",407,174,0,0,0
132,"0.4-0.5",77,548,0,0,0
132,"0.5-0.6",1,292,0,0,0
132,"0.6-0.7",0,16,0,0,0
