"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"234","25-50","43.75-87.5",2,5,2,0.974388824214203,0.0256111757857974,0,0
"235","25-50","43.75-87.5",2,6,1,1,0,0,0
"236","25-50","43.75-87.5",2,6,2,0.982885085574572,0.0171149144254279,0,0
"237","25-50","43.75-87.5",2,7,1,0.980932203389831,0.0190677966101695,0,0
"238","25-50","43.75-87.5",2,7,2,0.98705501618123,0.0129449838187702,0,0
"239","25-50","43.75-87.5",3,1,1,0.716171617161716,0.283828382838284,0,0
"240","25-50","43.75-87.5",3,1,2,0.71413390010627,0.28586609989373,0,0
"241","25-50","43.75-87.5",3,2,1,0.683073229291717,0.316926770708283,0,0
"242","25-50","43.75-87.5",3,2,2,0.724022346368715,0.275977653631285,0,0
"243","25-50","43.75-87.5",3,3,1,0.710144927536232,0.289855072463768,0,0
"244","25-50","43.75-87.5",3,3,2,0.713936430317848,0.286063569682152,0,0
"245","25-50","43.75-87.5",3,4,1,0.788461538461538,0.211538461538462,0,0
"246","25-50","43.75-87.5",3,4,2,0.709483793517407,0.290516206482593,0,0
"247","25-50","43.75-87.5",3,5,1,0.823461091753775,0.176538908246225,0,0
"248","25-50","43.75-87.5",3,5,2,0.701675977653631,0.298324022346369,0,0
"249","25-50","43.75-87.5",3,6,1,0.894417475728155,0.105582524271845,0,0
"250","25-50","43.75-87.5",3,6,2,0.728525980911983,0.271474019088017,0,0
"251","25-50","43.75-87.5",3,7,1,0.70635838150289,0.29364161849711,0,0
"252","25-50","43.75-87.5",3,7,2,0.692825112107623,0.307174887892377,0,0
"253","25-50","87.5-131.25",1,1,1,0.993150684931507,0.00684931506849315,0,0
"254","25-50","87.5-131.25",1,1,2,0.998789346246973,0.00121065375302663,0,0
"255","25-50","87.5-131.25",1,2,1,0.996491228070175,0.00350877192982456,0,0
"256","25-50","87.5-131.25",1,2,2,0.996594778660613,0.00340522133938706,0,0
"257","25-50","87.5-131.25",1,3,1,1,0,0,0
"258","25-50","87.5-131.25",1,3,2,1,0,0,0
"259","25-50","87.5-131.25",1,4,1,0.997703788748565,0.00229621125143513,0,0
"260","25-50","87.5-131.25",1,4,2,0.993212669683258,0.00678733031674208,0,0
"261","25-50","87.5-131.25",1,5,1,1,0,0,0
"262","25-50","87.5-131.25",1,5,2,0.998877665544332,0.00112233445566779,0,0
"263","25-50","87.5-131.25",1,6,1,1,0,0,0
"264","25-50","87.5-131.25",1,6,2,0.997638724911452,0.00236127508854782,0,0
"265","25-50","87.5-131.25",1,7,1,0.998841251448436,0.00115874855156431,0,0
"266","25-50","87.5-131.25",1,7,2,0.996587030716723,0.00341296928327645,0,0
"267","25-50","87.5-131.25",2,1,1,0.982973893303065,0.0170261066969353,0,0
"268","25-50","87.5-131.25",2,1,2,0.984866123399301,0.0151338766006985,0,0
"269","25-50","87.5-131.25",2,2,1,0.98989898989899,0.0101010101010101,0,0
"270","25-50","87.5-131.25",2,2,2,0.983490566037736,0.0165094339622642,0,0
"271","25-50","87.5-131.25",2,3,1,0.98452380952381,0.0154761904761905,0,0
"272","25-50","87.5-131.25",2,3,2,0.983050847457627,0.0169491525423729,0,0
"273","25-50","87.5-131.25",2,4,1,0.996491228070175,0.00350877192982456,0,0
"274","25-50","87.5-131.25",2,4,2,0.986951364175564,0.0130486358244365,0,0
"275","25-50","87.5-131.25",2,5,1,0.99438202247191,0.00561797752808989,0,0
